rank,primary_class,count
1,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",43
2,N72 - 72 - Scientific research and development,34
3,P84 - 84 - Public administration and defence; compulsory social security,18
4,Q85 - 85 - Education,18
5,"S91 - 91 - Library, archives, museum and other cultural activities",11
6,"N73 - 73 - Activities of advertising, market research and public relations",10
7,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",10
8,T96 - 96 - Personal service activities,10
9,"A01 - 01 - Crop and animal production, hunting and related service activities",9
10,I55 - 55 - Accommodation,7
11,O78 - 78 - Employment activities,6
12,R87 - 87 - Residential care activities,5
13,H49 - 49 - Land transport and transport via pipelines,5
14,N70 - 70 - Activities of head offices; management consultancy activities,4
15,C10 - 10 - Manufacture of food products,4
16,C31 - 31 - Manufacture of furniture,4
17,U98 - 98 - Undifferentiated goods- and services-producing activities of private households for own use,4
18,"L64 - 64 - Financial service activities, except insurance and pension funding",4
19,U97 - 97 - Activities of households as employers of domestic personnel,3
20,T94 - 94 - Activities of membership organizations,3
